fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
05/09/2025,60372,60697,59171,59249,59249,10408400
05/08/2025,60629,61130,59662,59801,59801,14622800
05/07/2025,59036,60308,58667,59681,59681,13139100
05/06/2025,59253,59603,58658,58731,58731,10600700
05/05/2025,59122,60321,58805,59927,59927,13887700
05/02/2025,58346,60434,57833,59702,59702,24739300
05/01/2025,59208,59295,57050,57221,57221,31159000
03/31/2025,56350,57870,55330,57636,57636,21124700
03/28/2025,60031,60175,57392,57674,57674,17602800
03/27/2025,60200,61425,60010,60258,60258,10436500
03/26/2025,62489,62675,60661,61098,61098,12609800
03/25/2025,62676,63388,62118,62631,62631,15312500
03/24/2025,61497,62254,61220,61885,61885,15741300
03/21/2025,58342,59754,58095,59625,59625,25015900
03/20/2025,58276,61020,57951,58600,58600,24336500
03/19/2025,58428,59232,57477,58406,58406,20537500
03/18/2025,60005,60025,57466,58236,58236,20297700
03/17/2025,60746,61310,59800,60490,60490,15473900
03/14/2025,60280,60886,59478,60760,60760,12364500
03/13/2025,62025,62050,58651,59064,59011,16480300
03/12/2025,62990,63333,60935,61956,61901,15747000
03/11/2025,59505,61493,59333,60571,60517,17401500
03/10/2025,60807,61011,58687,59799,59746,21999900
03/07/2025,62537,63479,60061,62566,62510,21375700
03/06/2025,64800,65056,62411,62793,62737,13446500
03/05/2025,64100,65950,63766,65647,65589,13770000
03/04/2025,64551,64975,62365,64000,63943,21495200
03/03/2025,67368,68125,65084,65505,65447,10843800
02/28/2025,65804,66963,64260,66820,66761,17534200
02/27/2025,68245,68865,65757,65824,65765,12500000
02/26/2025,65965,68301,65800,67370,67310,14488700
02/25/2025,66597,66800,64186,65750,65692,20579700
02/24/2025,68628,68727,66245,66813,66754,15677000
02/21/2025,69658,70387,68236,68355,68294,15660400
02/20/2025,69728,70563,69364,69484,69422,12587400
02/19/2025,70410,70700,69539,70377,70314,17535500
02/18/2025,73600,73700,70644,71637,71573,21938700
02/14/2025,72614,74091,72562,73667,73602,16901200
02/13/2025,72152,72900,71804,72856,72791,12569100
02/12/2025,71530,72710,71260,72538,72474,12016500
02/11/2025,71332,72366,71004,71980,71916,12998000
02/10/2025,71856,72120,71133,71740,71676,12904300
02/07/2025,71680,72501,71175,71452,71388,16427100
02/06/2025,70588,71890,70350,71199,71136,13080700
02/05/2025,70355,71814,69901,70487,70424,17778200
02/04/2025,70250,70771,69161,70419,70356,13826300
02/03/2025,67591,70400,67525,69746,69684,21415700
11/29/2024,56900,57846,56690,57432,57335,7130500
11/27/2024,57489,57498,56410,56920,56824,7200200
11/26/2024,56600,57750,56520,57354,57257,10356600
11/25/2024,56210,57259,55639,56511,56415,13599800
11/22/2024,56355,56383,55459,55914,55819,9164000
11/21/2024,56952,57000,54905,56309,56214,11154700
11/20/2024,56293,56635,55420,56552,56456,9797300
11/19/2024,55186,56143,55060,56109,56014,9522400
11/18/2024,55704,55990,55009,55440,55346,14346700
11/15/2024,57122,57257,55150,55408,55314,17712900
11/14/2024,57700,58076,57301,57716,57618,11053700
11/13/2024,58261,58564,57517,58000,57902,10757600
11/12/2024,58854,59966,58038,58482,58383,16287700
11/11/2024,58636,58700,57651,58317,58218,10209100
11/08/2024,59154,59310,58452,58934,58834,9415700
11/07/2024,57689,59480,57521,59170,59070,14653700
11/06/2024,56275,57300,55517,57205,57108,18305400
11/05/2024,56730,57348,56667,57243,57146,9775400
11/04/2024,56410,56869,55789,56068,55973,12064600
11/01/2024,56761,57367,56256,56716,56620,15303200
10/31/2024,58500,58990,56301,56758,56662,26838400
10/30/2024,60098,60120,58938,59180,59080,26864900
10/29/2024,58015,59367,57540,59328,59227,13019100
10/28/2024,58200,58375,57412,57816,57718,10925100
10/25/2024,57393,58129,57172,57325,57228,11337900
10/24/2024,56713,56888,56152,56778,56682,7184700
10/23/2024,57997,58500,56250,56369,56273,14248400
10/22/2024,57429,58353,57212,58201,58102,8544500
10/21/2024,57603,57724,56911,57516,57419,8171900
10/18/2024,58110,58397,57525,57647,57549,7694300
10/17/2024,58333,58497,57520,57693,57595,8701200
10/16/2024,58140,58208,57403,57679,57581,11268400
10/15/2024,59016,59061,58014,58627,58528,9564200
10/14/2024,59422,60010,58996,59042,58942,8252000
10/11/2024,58483,59121,58271,58995,58895,8587100
10/10/2024,58757,59023,58252,58383,58284,7740400
10/09/2024,59399,59439,58161,59051,58951,9529700
10/08/2024,58969,59356,58597,59289,59189,7857400
10/07/2024,59822,60295,58404,58478,58379,12014200
10/04/2024,58373,59685,58143,59594,59493,14169500
10/03/2024,57015,58336,56873,58277,58178,11581000
10/02/2024,57486,57600,56934,57281,57184,6524700
10/01/2024,57798,58304,57010,57647,57549,15259300
09/30/2024,56770,57468,56480,57244,57147,12792300
09/27/2024,57010,57084,56451,56736,56640,9398400
09/26/2024,57573,57740,56235,56784,56688,14400800
09/25/2024,56405,57688,56372,56831,56735,16543400
09/24/2024,56668,56775,55419,56333,56238,12993000
09/23/2024,56950,57398,56241,56441,56345,12830700
09/20/2024,56000,56450,55630,56135,56040,22066800
09/19/2024,55000,56207,54652,55910,55815,15647000
09/18/2024,53707,54420,53390,53795,53704,10323500
09/17/2024,53760,54210,53057,53632,53541,11690800
09/16/2024,52454,53410,51740,53328,53238,9527600
09/13/2024,52034,52758,51711,52462,52323,10321400
09/12/2024,51705,52671,51522,52560,52421,11993300
09/11/2024,50701,51312,49560,51183,51048,10782500
09/10/2024,50816,51418,50003,50479,50345,9899000
09/09/2024,50616,51133,50208,50479,50345,11047800
09/06/2024,52188,52458,49825,50027,49895,14744500
09/05/2024,51172,52163,51115,51686,51549,8640900
09/04/2024,50607,51659,50407,51274,51138,8335200
09/03/2024,51964,52549,50862,51176,51041,12459100
07/31/2024,47102,47650,46675,47483,47357,24285800
07/30/2024,46700,47273,45670,46319,46196,11390400
07/29/2024,46988,47396,46502,46571,46448,11339600
07/26/2024,46420,46977,45942,46570,46447,14222400
07/25/2024,46326,46355,44265,45341,45221,18240500
07/24/2024,47231,47630,46058,46127,46005,17649700
07/23/2024,48984,49522,48772,48869,48740,9455500
07/22/2024,48658,49206,48390,48740,48611,12023100
07/19/2024,47606,48671,47571,47679,47553,15149400
07/18/2024,47500,47924,46454,47585,47459,19267200
07/17/2024,47917,47917,45912,46199,46077,28076600
07/16/2024,50150,50395,48579,48979,48849,14075800
07/15/2024,49863,50668,49337,49616,49485,12539200
